,district,date,month,year,visitors
0,Adilabad,01-01-2016,January,2016,792136
1,Adilabad,01-02-2016,February,2016,937820
2,Adilabad,01-03-2016,March,2016,582946
3,Adilabad,01-04-2016,April,2016,341948
4,Adilabad,01-05-2016,May,2016,252887
5,Adilabad,01-06-2016,June,2016,368237
6,Adilabad,01-07-2016,July,2016,447562
7,Adilabad,01-08-2016,August,2016,614285
8,Adilabad,01-09-2016,September,2016,491279
9,Adilabad,01-10-2016,October,2016,94184
10,Adilabad,01-11-2016,November,2016,99148
11,Adilabad,01-12-2016,December,2016,53125
12,Bhadradri Kothagudem ,01-01-2016,January,2016, 
13,Bhadradri Kothagudem ,01-02-2016,February,2016, 
14,Bhadradri Kothagudem ,01-03-2016,March,2016, 
15,Bhadradri Kothagudem ,01-04-2016,April,2016, 
16,Bhadradri Kothagudem ,01-05-2016,May,2016, 
17,Bhadradri Kothagudem ,01-06-2016,June,2016, 
18,Bhadradri Kothagudem ,01-07-2016,July,2016, 
19,Bhadradri Kothagudem ,01-08-2016,August,2016, 
20,Bhadradri Kothagudem ,01-09-2016,September,2016, 
21,Bhadradri Kothagudem ,01-10-2016,October,2016,310133
22,Bhadradri Kothagudem ,01-11-2016,November,2016,252127
23,Bhadradri Kothagudem ,01-12-2016,December,2016,326770
24,Hyderabad,01-01-2016,January,2016,1122510
25,Hyderabad,01-02-2016,February,2016,778748
26,Hyderabad,01-03-2016,March,2016,1017794
27,Hyderabad,01-04-2016,April,2016,1127738
28,Hyderabad,01-05-2016,May,2016,1287181
29,Hyderabad,01-06-2016,June,2016,12032661
30,Hyderabad,01-07-2016,July,2016,1096754
31,Hyderabad,01-08-2016,August,2016,1061137
32,Hyderabad,01-09-2016,September,2016,832987
33,Hyderabad,01-10-2016,October,2016,901960
34,Hyderabad,01-11-2016,November,2016,909733
35,Hyderabad,01-12-2016,December,2016,1225502
36,Jagtial ,01-01-2016,January,2016, 
37,Jagtial ,01-02-2016,February,2016, 
38,Jagtial ,01-03-2016,March,2016, 
39,Jagtial ,01-04-2016,April,2016, 
40,Jagtial ,01-05-2016,May,2016, 
41,Jagtial ,01-06-2016,June,2016, 
42,Jagtial ,01-07-2016,July,2016, 
43,Jagtial ,01-08-2016,August,2016, 
44,Jagtial ,01-09-2016,September,2016, 
45,Jagtial ,01-10-2016,October,2016,201249
46,Jagtial ,01-11-2016,November,2016,214534
47,Jagtial ,01-12-2016,December,2016,207294
48,Jangaon ,01-01-2016,January,2016, 
49,Jangaon ,01-02-2016,February,2016, 
50,Jangaon ,01-03-2016,March,2016, 
51,Jangaon ,01-04-2016,April,2016, 
52,Jangaon ,01-05-2016,May,2016, 
53,Jangaon ,01-06-2016,June,2016, 
54,Jangaon ,01-07-2016,July,2016, 
55,Jangaon ,01-08-2016,August,2016, 
56,Jangaon ,01-09-2016,September,2016, 
57,Jangaon ,01-10-2016,October,2016,14770
58,Jangaon ,01-11-2016,November,2016,13210
59,Jangaon ,01-12-2016,December,2016,12680
60,Jayashankar Bhoopalpally,01-01-2016,January,2016, 
61,Jayashankar Bhoopalpally,01-02-2016,February,2016, 
62,Jayashankar Bhoopalpally,01-03-2016,March,2016, 
63,Jayashankar Bhoopalpally,01-04-2016,April,2016, 
64,Jayashankar Bhoopalpally,01-05-2016,May,2016, 
65,Jayashankar Bhoopalpally,01-06-2016,June,2016, 
66,Jayashankar Bhoopalpally,01-07-2016,July,2016, 
67,Jayashankar Bhoopalpally,01-08-2016,August,2016, 
68,Jayashankar Bhoopalpally,01-09-2016,September,2016, 
69,Jayashankar Bhoopalpally,01-10-2016,October,2016,76360
70,Jayashankar Bhoopalpally,01-11-2016,November,2016,81580
71,Jayashankar Bhoopalpally,01-12-2016,December,2016,85460
72,Jogulamba Gadwal ,01-01-2016,January,2016, 
